Type,Diam_cm,Material,X,Y,Z
14,53.0,1,633871.430379732,3475408.2255468722,-0.44329999999899883
16,87.0,1,633865.5863656156,3475408.2424033885,-0.4894999999960419
18,94.0,1,633864.5549660439,3475411.466835963,-1.3224999999947613
16,68.0,1,633866.4277991226,3475416.8405149425,-1.0770999999949709
18,64.0,1,633854.8227708535,3475445.7001249543,-0.7709999999933643
16,79.0,1,633859.152408534,3475447.2939450503,-0.7550000000046566
16,76.0,1,633857.5615796417,3475450.3669522926,-0.7050000000017462
16,67.0,1,633855.4203046523,3475450.5795699502,-0.7274000000033993
16,74.0,1,633869.8073304975,3475455.6356491726,-0.4909999999945285
16,62.0,1,633864.2869136485,3475465.874786002,-0.22719999999389984
18,57.0,1,633850.8937649953,3475428.1058420613,-0.5960000000050059
16,64.0,1,633863.7349845455,3475424.186829496,-0.9671999999991385
14,57.0,1,633882.4842677285,3475422.986145425,-0.49709999999322463
18,93.0,1,633885.460724385,3475431.785428876,-0.825700000001234
18,56.0,1,633881.2488818457,3475433.998385303,-0.8276999999943655
16,53.0,1,633880.5179948465,3475435.5884173554,-0.6958000000013271
16,90.0,1,633870.0125527096,3475437.274831567,-0.7731000000057975
14,60.0,1,633865.3663317561,3475442.310664438,-0.6349000000045635
16,78.0,1,633864.27636863,3475441.5849821637,-0.6922000000049593
16,61.0,1,633873.6606972695,3475426.4012000845,-0.6768000000010943
16,78.0,1,633878.4934244386,3475418.876343174,-0.4943000000057509
16,56.0,1,633880.540401537,3475418.510537522,-0.36019999999552965
14,43.0,1,633872.6480261607,3475472.298701959,0.003599999996367842
14,56.0,1,633873.0351850388,3475472.888982551,0.1569000000017695
16,104.0,1,633844.0676183512,3475505.31293115,0.38039999999455176
16,49.0,1,633888.4608698853,3475410.426226829,-0.8191999999980908
16,67.0,1,633891.9685911777,3475406.8747283863,-1.0289999999949941
18,85.0,1,633913.7242906394,3475395.2451065565,-1.1609000000025844
14,57.0,1,633916.0483250188,3475388.9771555685,-1.1777000000001863
16,57.0,1,633919.2542862804,3475407.8951865737,-2.159799999993993
18,71.0,1,633907.3866509825,3475410.2461706116,0.35869999999704305
16,49.0,1,633906.0359680289,3475411.8085425426,-1.7752999999938766
16,76.0,1,633912.06930359,3475420.7750265584,-1.9703000000008615
16,74.0,1,633899.0828827542,3475415.604386529,-1.279500000004191
14,0.0,1,633888.8984950492,3475421.0121232076,-1.3953000000037719
18,94.0,1,633885.7381555566,3475432.0329386955,-0.9296999999933178
18,105.0,1,633820.7356652871,3475447.429329888,-0.8959999999933643
14,63.0,1,633846.3893023446,3475390.8746162797,-1.631200000003446
14,61.0,1,633864.7737589129,3475407.143032422,-1.1585999999952037
18,78.0,1,633881.1098055098,3475403.5951221166,-1.3473999999987427
18,98.0,1,633896.1459038968,3475403.47767255,-0.5034000000014203
14,65.0,1,633891.2226296827,3475400.600428149,-0.49539999999979045
14,94.0,1,633909.4368563546,3475395.3362017195,-0.6689999999944121
14,41.0,1,633908.8859297556,3475395.6938868593,-0.3350999999966007
14,55.0,1,633902.3446937093,3475395.4455926972,-0.252200000002631
14,55.0,1,633902.409554574,3475394.8834540746,-0.6285999999963678
18,78.0,1,633904.0158155449,3475390.4810287426,-0.9921000000031199
14,60.0,1,633904.437542014,3475386.9869739204,-0.8239000000030501
14,42.0,1,633891.0116958807,3475389.9621640104,-1.14440000000468
14,65.0,1,633889.1087082063,3475391.803157608,-1.1128000000026077
14,87.0,1,633890.3253920152,3475392.4124010974,-0.4330000000045402
14,58.0,1,633890.8986833522,3475391.962518997,-0.7397999999957392
14,91.0,1,633885.5253402118,3475396.525108538,-0.9798000000009779
14,60.0,1,633879.4857136244,3475392.580898661,-1.336699999999837
14,53.0,1,633877.1681497727,3475386.9701314247,-1.609599999996135
20,111.0,1,633873.7694436738,3475388.839653611,-1.615300000004936
14,66.0,1,633875.0702105775,3475393.827502528,-1.2474999999976717
24,287.0,1,633873.0887212296,3475398.5961578963,-1.1875
14,54.0,1,633867.4252466988,3475398.4821280697,-1.094200000006822
16,85.0,1,633863.5198218988,3475401.5198900746,-1.129400000005262
14,54.0,1,633826.7513050075,3475398.40906395,-1.5724000000045635
14,43.0,1,633825.5578242324,3475396.5546738035,-0.10629999999946449
16,76.0,1,633953.2370505289,3475378.219604907,-1.9337999999988824
14,58.0,1,633949.8844200723,3475375.333387242,-1.7360000000044238
16,83.0,1,633950.7907664517,3475372.344419156,-2.0791000000026543
18,64.0,1,633955.2006668975,3475370.703445493,-2.192699999999604
